,open,high,low,close,volume,market_return,cum_market_return,ma_short,ma_long,feat_ma_ratio,feat_ma_trend,ma_trend_line,feat_trend_ratio,rsi,feat_rsi,ema_fast,ema_slow,macd_line,signal_line,macd_hist,feat_macd,bb_middle,bb_std_val,bb_upper,bb_lower,feat_bb_pos,k,d,j,feat_kdj,atr,feat_atr_ratio,next_ret,position,signal,cash,shares,total_value,strategy_return,cum_strategy_return
2025-11-11,269.3096487524697,275.3983427074405,269.2996575494418,274.73956298828125,46208300,0.02160114657791201,0.9496152057869967,269.9538818359375,269.6519317626953,1.0011197734433002,1.0,249.0714848836263,1.1030550607332381,83.98826579595233,0.8398826579595233,268.0270582277918,262.45516537721284,5.57189285057899,5.609246276981247,-0.03735342640225614,-0.00013595940045915418,264.0977409362793,7.798138703271493,279.6940183428223,248.50146352973633,0.841165424717697,55.0715224473668,54.49964087797182,56.21528558615675,0.5621528558615675,5.039487366867186,0.01834277995389896,-0.006466862149501096,1.0,1,0.0,705.0080859522083,193693.61343771432,0.02160114657791201,0.9369361343771432
2025-11-12,274.49002155435767,275.2186787593472,271.19615348009904,272.9628601074219,48398000,-0.006466862149501096,0.937007313006601,270.6708679199219,270.05430297851564,1.0022831109607322,1.0,249.78903986612957,1.0927735626868913,77.47640663191478,0.7747640663191478,268.78641236311955,263.2335131350061,5.552899228113461,5.59797686720769,-0.04507763909422913,-0.00016514202302594293,265.31405487060545,7.12801319515412,279.5700812609137,251.0580284802972,0.7682656533853888,59.252991409190884,56.084091055044844,65.59079211748296,0.6559079211748297,5.140909027665714,0.018833730738345975,-0.0019014031834500011,1.0,0,0.0,705.0080859522083,192441.0235403739,-0.006466862149500985,0.9244102354037389
2025-11-13,273.6016697208788,276.1868935731559,271.5854266195937,272.44384765625,49602800,-0.0019014031834500011,0.9333242811352842,271.35784912109375,270.23525390625,1.0041541367917861,1.0,250.5735641479492,1.0872808849384716,72.55855251770865,0.7255855251770865,269.34909471590885,263.9157601365797,5.433334579329141,5.565048409631981,-0.13171383030283934,-0.0004834531260385561,266.59865112304686,5.797641582529826,278.1939342881065,255.00336795798722,0.7520505837565928,61.161684534504936,57.77662221486487,67.93180917378507,0.6793180917378507,5.117010378129984,0.018781889932065445,-0.00197850671637112,1.0,0,0.0,705.0080859522083,192075.11556558782,-0.0019014031834501122,0.9207511556558783
2025-11-14,270.54732197227213,275.44821996704485,269.1000292932184,271.9048156738281,47431300,-0.00197850671637112,0.9294991860601347,272.1962890625,270.4650085449219,1.0064011219805886,1.0,251.3675521850586,1.0817021219665923,60.98381914904334,0.6098381914904334,269.74228255558876,264.50754202822776,5.234740527360998,5.498986833177784,-0.2642463058167861,-0.0009718338536597936,267.61497955322267,4.704559296117286,277.02409814545723,258.2058609609881,0.7279615965402064,60.072091261010996,58.54177856358025,63.132716655872485,0.6313271665587249,5.121723531226467,0.018836457529071246,-0.018171161859606544,1.0,0,0.0,705.0080859522083,191695.09365939358,-0.001978506716371009,0.9169509365939357
2025-11-17,268.3214829895084,269.98836893107386,265.237217022597,266.9639892578125,45018300,-0.018171161859606544,0.894437944042257,271.8030151367187,270.3323120117187,1.0054403489860875,1.0,252.0316609700521,1.0592478229562077,47.13534677705427,0.47135346777054266,269.31485281746933,264.6895010822711,4.625351735198251,5.324259813581878,-0.698908078383627,-0.002617986334818705,267.88816986083987,4.484271220063583,276.85671230096705,258.9196274207127,0.44847651902895047,45.304752121436444,54.129436416198985,27.655383531911355,0.27655383531911354,5.474044009963734,0.020504802931201844,-7.464669137968727e-05,1.0,0,0.0,705.0080859522083,188211.77108481628,-0.018171161859606655,0.8821177108481628
2025-11-18,269.48932037088264,270.2079864201871,264.8279974843966,266.9440612792969,45677300,-7.464669137968727e-05,0.89429653051771,270.24391479492186,270.09889831542966,1.0005368977062097,1.0,252.7054094950358,1.0563448592428961,45.38455883334093,0.4538455883334093,268.9501156577505,264.85650554131,4.093610116440459,5.0781298741535945,-0.9845197577131355,-0.003688112592978589,268.1339401245117,4.276093009387043,276.6861261432858,259.5817541057376,0.430434202843755,36.41287834409677,48.22391705883159,12.790800914627127,0.12790800914627126,5.552051268748776,0.020798556901182555,0.0041877290655558674,1.0,0,0.0,705.0080859522083,188197.7216988261,-7.464669137968727e-05,0.8819772169882609
2025-11-19,265.0375710636542,271.7051756343288,265.00762791735707,268.0619506835937,40424500,0.0041877290655558674,0.9022293311573404,269.2637329101562,269.967300415039,0.997393875105633,0.0,253.36205724080403,1.0580193125397583,43.88572288053639,0.43885722880536393,268.8134748924956,265.0939459222199,3.7195289702756895,4.806409693378014,-1.0868807231023245,-0.004054587815525651,268.65099334716797,3.5066933551335486,275.66438005743504,261.6376066369009,0.45800580048453904,33.76547290231105,43.40443567332475,14.48754736028367,0.1448754736028367,5.6273021029472465,0.020992543207285976,-0.00860134970367199,1.0,0,0.0,705.0080859522083,188985.84276805565,0.0041877290655558674,0.8898584276805566
2025-11-20,270.327749378444,274.91922505965954,265.4268814706152,265.7562561035156,45823600,-0.00860134970367199,0.8858675914634742,267.92621459960935,269.64203186035155,0.9936366810376673,0.0,253.96066538492838,1.046446522158312,41.371078767043585,0.41371078767043584,268.34313354034487,265.1430059356492,3.2001276046956377,4.485153275641539,-1.2850256709459016,-0.004835354339165632,268.9964233398438,2.7484801094049085,274.4933835586536,263.49946312103395,0.20527643346251737,25.234343290369395,37.347738212339635,1.0075534464289149,0.01007553446428915,5.724113507351904,0.02153896043592413,0.019680647235321702,1.0,0,0.0,705.0080859522083,187360.3094453644,-0.008601349703672101,0.8736030944536439
2025-11-21,265.4568071090486,272.8230952896135,265.17732758833057,270.98651123046875,59030800,0.019680647235321702,0.9229826862635926,267.7425537109375,269.96942138671875,0.9917514040808986,0.0,254.61204172770184,1.0643114454734524,55.138557911004824,0.5513855791100483,268.7498070311332,265.57585817970994,3.1739488514232335,4.2229123907978785,-1.048963539374645,-0.0038709068238884227,269.4418197631836,2.243881592484145,273.9295829481519,264.95405657821533,0.672100301588858,34.895406434586064,36.53029428642178,31.625630730914637,0.3162563073091464,5.94259486116422,0.021929485760199603,0.016317468883471742,1.0,1,0.0,705.0080859522083,191047.68160145936,0.019680647235321924,0.9104768160145937
2025-11-24,270.397615191446,276.4863089537433,270.397615191446,275.4083251953125,65585800,0.016317468883471742,0.9543608964101538,269.4314208984375,270.6172180175781,0.9956181719572561,0.0,255.3440953572591,1.078577218444796,60.33287207451662,0.6033287207451662,269.7741944410069,266.30418906975456,3.4700053712523413,4.072330986888772,-0.6023256156364303,-0.0021870276180730877,269.8096527099609,2.5815715959423717,274.97279590184564,264.6465095180762,1.042176658200643,53.51477411307218,42.191787561971914,76.1607472152727,0.7616074721527271,6.101853167918766,0.022155659751519237,0.003805495657415614,1.0,1,0.0,705.0080859522083,194165.0962012506,0.016317468883471742,0.941650962012506
