date,open,high,low,close,volume,short_ma,long_ma,position,signal
2016-12-23,167.0,167.49,166.45,166.71,1701228.0,167.07600000000002,167.243,0,0
2016-12-27,166.98,167.98,166.85,167.14,1397455.0,167.168,167.40699999999998,0,0
2016-12-28,167.29,167.74,166.0,166.19,1757500.0,166.886,167.197,0,0
2016-12-29,166.02,166.99,166.0,166.6,1663542.0,166.73999999999998,167.006,0,0
2016-12-30,166.44,166.7,165.5,165.99,2952200.0,166.526,166.80300000000003,0,0
2017-01-03,167.0,167.87,166.01,167.19,2934299.0,166.62199999999999,166.849,0,0
2017-01-04,167.77,169.87,167.36,169.26,3381232.0,167.046,167.107,0,0
2017-01-05,169.25,169.39,167.26,168.7,2682181.0,167.548,167.217,1,1
2017-01-06,168.69,169.92,167.52,169.53,2945536.0,168.134,167.43699999999998,1,0
2017-01-09,169.47,169.8,167.62,167.65,3189413.0,168.46599999999998,167.496,1,0
2017-01-10,167.98,168.09,165.34,165.52,4118694.0,168.132,167.377,1,0
2017-01-11,166.05,167.76,165.6,167.75,3599464.0,167.83,167.43800000000002,1,0
2017-01-12,167.77,168.01,165.56,167.95,2927953.0,167.68,167.614,1,0
2017-01-13,167.97,168.48,166.875,167.34,2875319.0,167.24200000000002,167.688,0,-1
2017-01-17,166.69,168.18,166.1201,167.89,3315655.0,167.29,167.878,0,0
2017-01-18,167.45,168.59,166.69,166.8,4005626.0,167.546,167.839,0,0
2017-01-19,166.96,167.45,165.8,166.81,6963386.0,167.358,167.594,0,0
2017-01-20,167.81,170.64,166.0,170.55,12606847.0,167.87800000000001,167.779,1,1
2017-01-23,170.08,171.25,170.01,171.03,5477314.0,168.616,167.929,1,0
2017-01-24,171.36,176.0,171.16,175.9,6952369.0,170.21800000000002,168.754,1,0
2017-01-25,176.26,179.25,176.13,178.29,5922462.0,172.516,170.031,1,0
2017-01-26,178.06,178.88,177.51,178.66,3063911.0,174.88600000000002,171.122,1,0
2017-01-27,178.47,179.2,177.3,177.3,3482105.0,176.23600000000002,172.057,1,0
2017-01-30,176.98,177.07,174.5768,175.8,4093555.0,177.19,172.903,1,0
2017-01-31,175.05,175.58,173.61,174.52,4134049.0,176.91400000000002,173.56599999999997,1,0
2017-02-01,175.0,175.7025,172.89,174.29,2795445.0,176.114,174.315,1,0
2017-02-02,174.23,174.97,173.55,174.58,2620526.0,175.29800000000003,175.092,1,0
2017-02-03,175.0,176.34,174.89,175.82,3309179.0,175.002,175.619,0,-1
2017-02-06,175.31,175.98,174.38,175.86,2650509.0,175.014,176.10200000000003,0,0
2017-02-07,176.0,178.62,175.9,178.46,3873233.0,175.802,176.358,0,0
2017-02-08,177.5,177.5,175.88,176.17,2913126.0,176.178,176.14600000000002,1,1
2017-02-09,176.17,177.8,175.91,177.21,3090710.0,176.704,176.001,1,0
2017-02-10,177.37,178.8701,176.76,178.68,2930710.0,177.276,176.139,1,0
2017-02-13,179.24,179.9,178.84,179.36,3093372.0,177.97600000000003,176.495,1,0
2017-02-14,178.57,180.13,178.35,180.13,2775818.0,178.31,177.056,1,0
2017-02-15,180.2,181.92,179.81,181.68,2914292.0,179.412,177.795,1,0
2017-02-16,181.45,182.79,180.87,181.43,3251547.0,180.256,178.48,1,0
2017-02-17,181.25,181.57,180.0,180.67,3552305.0,180.654,178.965,1,0
2017-02-21,180.6,180.79,179.12,180.26,4480199.0,180.834,179.405,1,0
2017-02-22,180.09,181.34,180.09,181.15,3020540.0,181.03799999999998,179.67400000000004,1,0
2017-02-23,182.0,182.5,180.92,181.65,2282526.0,181.03199999999998,180.222,1,0
2017-02-24,180.21,181.49,179.89,181.35,3299019.0,181.01600000000002,180.63600000000002,1,0
2017-02-27,181.19,181.25,179.28,179.4,3691209.0,180.762,180.708,1,0
